i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
1	0.000000	2	0	0.000000	+	e	X1Sigma+	0	0	0	0	Ca	0.000000
2	27.692152	6	1	0.020000	-	e	X1Sigma+	0	0	0	0	Ca	27.692152
3	83.043729	10	2	0.060000	+	e	X1Sigma+	0	0	0	0	Ca	83.043729
4	165.989355	14	3	0.120000	-	e	X1Sigma+	0	0	0	0	Ca	165.989355
5	276.431168	18	4	0.200000	+	e	X1Sigma+	0	0	0	0	Ca	276.431168
6	414.239057	22	5	0.300000	-	e	X1Sigma+	0	0	0	0	Ca	414.239057
7	579.250980	26	6	0.420000	+	e	X1Sigma+	0	0	0	0	Ca	579.250980
8	771.273354	30	7	0.560000	-	e	X1Sigma+	0	0	0	0	Ca	771.273354
9	990.081518	34	8	0.720000	+	e	X1Sigma+	0	0	0	0	Ca	990.081518
10	1235.420270	38	9	0.900000	-	e	X1Sigma+	0	0	0	0	Ca	1235.420270
11	1507.004464	42	10	1.100000	+	e	X1Sigma+	0	0	0	0	Ca	1507.004464
12	1804.519673	46	11	1.320000	-	e	X1Sigma+	0	0	0	0	Ca	1804.519673
13	2127.622907	50	12	1.560000	+	e	X1Sigma+	0	0	0	0	Ca	2127.622907
14	2475.943391	54	13	1.820000	-	e	X1Sigma+	0	0	0	0	Ca	2475.943391
15	2731.811032	2	0	0.050000	+	e	X1Sigma+	1	0	0	0	Ca	2731.811032
16	2758.532592	6	1	0.070000	-	e	X1Sigma+	1	0	0	0	Ca	2758.532592
17	2811.943571	10	2	0.110000	+	e	X1Sigma+	1	0	0	0	Ca	2811.943571
18	2849.083383	58	14	2.100000	+	e	X1Sigma+	0	0	0	0	Ca	2849.083383
19	2891.979764	14	3	0.170000	-	e	X1Sigma+	1	0	0	0	Ca	2891.979764
20	2998.545057	18	4	0.250000	+	e	X1Sigma+	1	0	0	0	Ca	2998.545057
21	3131.511656	22	5	0.350000	-	e	X1Sigma+	1	0	0	0	Ca	3131.511656
22	3246.619042	62	15	2.400000	-	e	X1Sigma+	0	0	0	0	Ca	3246.619042
23	3290.720391	26	6	0.470000	+	e	X1Sigma+	1	0	0	0	Ca	3290.720391
24	3475.981091	30	7	0.610000	-	e	X1Sigma+	1	0	0	0	Ca	3475.981091
25	3668.101333	66	16	2.720000	+	e	X1Sigma+	0	0	0	0	Ca	3668.101333
26	3687.073033	34	8	0.770000	+	e	X1Sigma+	1	0	0	0	Ca	3687.073033
