v_J	Correction_scaled(cm-1)
0_0	0
0_1	0.075573171
0_2	0.226719512
0_3	0.453439025
0_4	0.755731708
0_5	1.133597562
0_6	1.587036587
0_7	2.116048783
0_8	2.720634149
0_9	3.400792687
0_10	4.156524395
0_11	4.987829274
0_12	5.894707324
0_13	6.877158544
0_14	7.935182936
0_15	9.068780498
0_16	10.27795123
0_17	11.56269513
0_18	12.92301221
0_19	14.35890246
0_20	15.87036587
0_21	17.45740246
0_22	19.12001222
0_23	20.85819515
0_24	22.67195125
0_25	24.56128052
0_26	26.52618296
0_27	28.56665857
0_28	30.68270735
0_29	32.87432931
0_30	35.14152443
0_31	37.48429273
0_32	39.90263419
0_33	42.39654883
0_34	44.96603664
0_35	47.61109761
0_36	50.33173176
1_0	0
1_1	0.069453035
1_2	0.208359105
1_3	0.416718209
1_4	0.694530349
1_5	1.041795523
1_6	1.458513732
1_7	1.944684977
1_8	2.500309256
1_9	3.125386569
1_10	3.819916918
1_11	4.583900302
1_12	5.41733672
1_13	6.320226174
1_14	7.292568662
1_15	8.334364185
1_16	9.445612743
1_17	10.62631434
1_18	11.87646896
1_19	13.19607663
1_20	14.58513732
1_21	16.04365106
1_22	17.57161782
1_23	19.16903763
1_24	20.83591046
1_25	22.57223633
1_26	24.37801524
1_27	26.25324718
1_28	28.19793216
1_29	30.21207017
1_30	32.29566122
1_31	34.4487053
1_32	36.67120241
1_33	38.96315257
1_34	41.32455575
1_35	43.75541197
1_36	46.25572123
2_0	0
2_1	0.062868153
2_2	0.188604459
2_3	0.377208918
2_4	0.628681531
2_5	0.943022296
2_6	1.320231215
2_7	1.760308286
2_8	2.263253511
2_9	2.829066888
2_10	3.457748419
2_11	4.149298103
2_12	4.90371594
2_13	5.72100193
2_14	6.601156073
2_15	7.544178369
2_16	8.550068818
2_17	9.61882742
2_18	10.75045418
2_19	11.94494908
2_20	13.20231215
2_21	14.52254336
2_22	15.90564273
2_23	17.35161025
2_24	18.86044592
2_25	20.43214975
2_26	22.06672173
2_27	23.76416186
2_28	25.52447015
2_29	27.34764659
2_30	29.23369118
2_31	31.18260392
2_32	33.19438482
2_33	35.26903387
2_34	37.40655108
2_35	39.60693644
2_36	41.87018995
3_0	0
3_1	0.056880118
3_2	0.170640354
3_3	0.341280707
3_4	0.568801179
3_5	0.853201768
3_6	1.194482475
3_7	1.5926433
3_8	2.047684243
3_9	2.559605304
3_10	3.128406483
3_11	3.75408778
3_12	4.436649194
3_13	5.176090726
3_14	5.972412377
3_15	6.825614145
3_16	7.735696031
3_17	8.702658035
3_18	9.726500156
3_19	10.8072224
3_20	11.94482475
3_21	13.13930723
3_22	14.39066982
3_23	15.69891253
3_24	17.06403536
3_25	18.48603831
3_26	19.96492137
3_27	21.50068456
3_28	23.09332786
3_29	24.74285127
3_30	26.44925481
3_31	28.21253846
3_32	30.03270224
3_33	31.90974613
3_34	33.84367013
3_35	35.83447426
3_36	37.8821585
4_0	0
4_1	0.053702587
4_2	0.16110776
4_3	0.322215521
4_4	0.537025868
4_5	0.805538802
4_6	1.127754323
4_7	1.503672431
4_8	1.933293126
4_9	2.416616407
4_10	2.953642276
4_11	3.544370731
4_12	4.188801773
4_13	4.886935401
4_14	5.638771617
4_15	6.444310419
4_16	7.303551809
4_17	8.216495785
4_18	9.183142348
4_19	10.2034915
4_20	11.27754323
4_21	12.40529756
4_22	13.58675447
4_23	14.82191396
4_24	16.11077605
4_25	17.45334072
4_26	18.84960798
4_27	20.29957782
4_28	21.80325025
4_29	23.36062527
4_30	24.97170288
4_31	26.63648307
4_32	28.35496585
4_33	30.12715121
4_34	31.95303916
4_35	33.8326297
4_36	35.76592283
5_0	0
5_1	0.052191062
5_2	0.156573185
5_3	0.313146369
5_4	0.521910616
5_5	0.782865924
5_6	1.096012293
5_7	1.461349724
5_8	1.878878217
5_9	2.348597771
5_10	2.870508387
5_11	3.444610064
5_12	4.070902803
5_13	4.749386603
5_14	5.480061465
5_15	6.262927389
5_16	7.097984374
5_17	7.985232421
5_18	8.924671529
5_19	9.916301699
5_20	10.96012293
5_21	12.05613522
5_22	13.20433858
5_23	14.40473299
5_24	15.65731847
5_25	16.96209501
5_26	18.31906261
5_27	19.72822128
5_28	21.189571
5_29	22.70311179
5_30	24.26884363
5_31	25.88676654
5_32	27.55688051
5_33	29.27918554
5_34	31.05368164
5_35	32.88036879
5_36	34.75924701
6_0	0
6_1	0.050522809
6_2	0.151568426
6_3	0.303136852
6_4	0.505228086
6_5	0.75784213
6_6	1.060978981
6_7	1.414638642
6_8	1.818821111
6_9	2.273526389
6_10	2.778754475
6_11	3.33450537
6_12	3.940779074
6_13	4.597575586
6_14	5.304894907
6_15	6.062737036
6_16	6.871101974
6_17	7.729989721
6_18	8.639400277
6_19	9.599333641
6_20	10.60978981
6_21	11.67076879
6_22	12.78227058
6_23	13.94429518
6_24	15.15684259
6_25	16.41991281
6_26	17.73350583
6_27	19.09762166
6_28	20.51226031
6_29	21.97742176
6_30	23.49310602
6_31	25.05931308
6_32	26.67604296
6_33	28.34329564
6_34	30.06107114
6_35	31.82936944
6_36	33.64819055
7_0	0
7_1	0.047654296
7_2	0.142962888
7_3	0.285925777
7_4	0.476542961
7_5	0.714814442
7_6	1.000740219
7_7	1.334320292
7_8	1.715554661
7_9	2.144443326
7_10	2.620986288
7_11	3.145183545
7_12	3.717035099
7_13	4.336540948
7_14	5.003701094
7_15	5.718515536
7_16	6.480984275
7_17	7.291107309
7_18	8.148884639
7_19	9.054316266
7_20	10.00740219
7_21	11.00814241
7_22	12.05653692
7_23	13.15258573
7_24	14.29628884
7_25	15.48764624
7_26	16.72665794
7_27	18.01332394
7_28	19.34764423
7_29	20.72961882
7_30	22.1592477
7_31	23.63653088
7_32	25.16146836
7_33	26.73406013
7_34	28.3543062
7_35	30.02220657
7_36	31.73776123
